id,homotypic_name_id,scientific_name,authorship,rank,uninomial,genus,infrageneric_epithet,specific_epithet,infraspecific_epithet,cultivar_epithet,strain,candidatus,notho,basionym_authors,basionym_ex_authors,basionym_year,combination_authors,combination_ex_authors,combination_year,sanctioning_author,code,nom_status,type
41646183,41646183,Latocestidae,,family,Latocestidae,,,,,,,f,,{},{},,{},{},,,,,0
41653716,41653716,Rhynchotetradoidea,,superfamily,Rhynchotetradoidea,,,,,,,f,,{},{},,{},{},,,,,0
41652863,41652863,Tridactyloidea,,superfamily,Tridactyloidea,,,,,,,f,,{},{},,{},{},,,,,0
41650726,41650726,Leucodontaceae,,family,Leucodontaceae,,,,,,,f,,{},{},,{},{},,,,,0
41652328,41652328,Urechinidae,,family,Urechinidae,,,,,,,f,,{},{},,{},{},,,,,0
41654313,41654313,Neovenatoridae,,family,Neovenatoridae,,,,,,,f,,{},{},,{},{},,,,,0
41651449,41651449,Balaenanemertidae,,family,Balaenanemertidae,,,,,,,f,,{},{},,{},{},,,,,0
41643907,41643907,Cryptomycocolacomycetes,,class,Cryptomycocolacomycetes,,,,,,,f,,{},{},,{},{},,,,,0
41652743,41652743,Gonatidae,,family,Gonatidae,,,,,,,f,,{},{},,{},{},,,,,0
41651914,41651914,Seuratiaceae,,family,Seuratiaceae,,,,,,,f,,{},{},,{},{},,,,,0
41653524,41653524,Perisphinctidae,,family,Perisphinctidae,,,,,,,f,,{},{},,{},{},,,,,0
41652803,41652803,Conidae,,family,Conidae,,,,,,,f,,{},{},,{},{},,,,,0
41643018,41643018,Bacillales,,order,Bacillales,,,,,,,f,,{},{},,{},{},,,,,0
41654053,41654053,Davidsoniidae,,family,Davidsoniidae,,,,,,,f,,{},{},,{},{},,,,,0
41649791,41649791,Plumulariidae,,family,Plumulariidae,,,,,,,f,,{},{},,{},{},,,,,0
41649667,41649667,Rhinoptericolidae,,family,Rhinoptericolidae,,,,,,,f,,{},{},,{},{},,,,,0
41643686,41643686,Eumenidae,,family,Eumenidae,,,,,,,f,,{},{},,{},{},,,,,0
41648222,41648222,Pezizales,,order,Pezizales,,,,,,,f,,{},{},,{},{},,,,,0
41649259,41649259,Caliciviridae,,family,Caliciviridae,,,,,,,f,,{},{},,{},{},,,,,0
