V M Badillo	BOT	V.M.Badillo	Victor Manuel Badillo	Víctor Manuel Badillo
V M Bates	BOT	V.M.Bates	Vernon M. Bates
V M Czernajew	BOT	Czern.	Vassilii Matveievitch Czernajew
V M Ostapko	BOT	Ostapko	V. M. Ostapko	V.M. Ostapko
V N Sukachev	BOT	Sukaczev	Vladimir Nikolayevich Sukachev
V Osvačilová	BOT	Osvač.	Vera Osvačilová	Věra Osvačilová
V P Ameljczenko	BOT	Ameljcz.	V. P. Ameljczenko	V.P. Ameljczenko
V P Castro	BOT	V.P.Castro	Vitorino Paiva Castro
V P L Lemoine	BOT	Lemoine	Victor Pierre Louis Lemoine
V P Prasad	BOT	V.P.Prasad	Vadhyaruparambil Prabhakaran Prasad
V Petagna	BOT	Petagna	Vincenzo Petagna
V Prakash	BOT	V.Prakash	Ved Prakash
V Rattan	BOT	Rattan	Volney Rattan
V Riccobono	BOT	Riccob.	Vincenzo Riccobono
V S E White	BOT	V.S.White	Violetta Susan Elizabeth White
V S Summerhayes	BOT	Summerh.	Victor Samuel Summerhayes
V Tineo	BOT	Tineo	Vincenzo Tineo
V V Jacquemont	BOT	Jacquem.	Venceslas Victor Jacquemont
V V Nikitin	BOT	V.V.Nikitin	Vasilii Vasilevich Nikitin
V V Nikitin	BOT	Vl.V.Nikitin	Vladimir V. Nikitin
V V Ossycznjuk	BOT	Ossyczn.	V. V. Ossycznjuk	V.V. Ossycznjuk
V von Borbás	BOT	Borbás	Vinczé von Borbás	Vincze von Borbás
V von Janka	BOT	Janka	Victor von Janka
V Y Cherdantseva	BOT	Cherd.	Valentina Yakovlevna Cherdantseva
V. A. Muhammed Nissar	BOT	V. A. Muhammed Nissar
V. Abadjieff	BOT	V. Abadjieff
V. Abdul Jaleel	BOT	V. Abdul Jaleel
V. Aberdeen	BOT	V. Aberdeen
V. Abraham	BOT	V. Abraham
V. Achutan	BOT	V. Achutan
V. Agnihothrudu	BOT	V. Agnihothrudu
V. Bean	BOT	V. Bean
V. Bertolino	ANY	V. Bertolino	Bertolino
V. Bhaskar	BOT	V. Bhaskar
V. Bongini	BOT	V. Bongini
V. Castañera	BOT	V. Castañera
V. Chelladurai	BOT	V. Chelladurai
V. Chithra	BOT	V. Chithra
V. Chorine	BOT	V. Chorine
V. Cociu	BOT	V. Cociu
V. Cuomo	BOT	V. Cuomo
V. Czaika	BOT	V. Czaika
V. D. Mansharamani	BOT	V. D. Mansharamani
V. Deniak	BOT	V. Deniak
V. Dhivaharan	BOT	V. Dhivaharan
V. Dininno	BOT	V. Dininno
V. Doyle	BOT	V. Doyle
V. Ducomet	BOT	V. Ducomet
V. Dumas	BOT	V. Dumas
V. Everken	BOT	V. Everken
V. Fieschi	BOT	V. Fieschi
V. Galippe	BOT	V. Galippe
V. Gundegmaa	BOT	V. Gundegmaa
V. Habermann	BOT	V. Habermann
V. Heikinheimo	BOT	V. Heikinheimo
V. Janečková	BOT	V. Janečková
V. Jensen	BOT	V. Jensen
V. Jouin	BOT	V. Jouin
V. Jovanović	BOT	V. Jovanović
V. Kalymbetov	BOT	V. Kalymbetov
V. Kaviyarasan	BOT	V. Kaviyarasan
V. Korkina	BOT	V. Korkina
V. Kumaresan	BOT	V. Kumaresan
V. Kunca	BOT	V. Kunca
V. Leroy	BOT	V. Leroy
V. Lukin	BOT	V. Lukin
V. Mala Ranghoo	BOT	V. Mala Ranghoo
V. Manandhar	BOT	V. Manandhar
V. Mangano	BOT	V. Mangano
V. Mariappan	BOT	V. Mariappan
V. Matikaschvili	BOT	V. Matikaschvili
V. Mazaffarian	BOT	V. Mazaffarian
V. Maťha	BOT	V. Maťha
V. Migliardi	BOT	V. Migliardi
V. Mini	BOT	V. Mini
V. Mora	BOT	V. Mora
V. N. Lebedko	BOT	V. N. Lebedko
V. Narayanaswami	BOT	V. Narayanaswami
V. Nath	BOT	V. Nath
V. Nithya Madhanan	BOT	V. Nithya Madhanan
V. Nohl	BOT	V. Nohl
V. Nordmann	BOT	V. Nordmann
V. Orshanskaya	BOT	V. Orshanskaya
V. Page	BOT	V. Page
V. Papava	BOT	V. Papava
V. Perrone	BOT	V. Perrone
V. Piane	BOT	V. Piane
V. Puntoni	BOT	V. Puntoni
V. Ragunathan	BOT	V. Ragunathan
V. Rossinsky	BOT	V. Rossinsky
V. S. Ford	BOT	V. S. Ford
V. Saggese	BOT	V. Saggese
V. Sampath	BOT	V. Sampath
V. Sanda	BOT	V. Sanda
V. Sankaran	BOT	V. Sankaran
V. Sarafis	BOT	V. Sarafis
V. Sarilar	BOT	V. Sarilar
V. Satchuthanthavale	BOT	V. Satchuthanthavale
V. Seethalakshmi	BOT	V. Seethalakshmi
V. Serrano-Cárdenas	BOT	V. Serrano-Cárdenas
V. Smedegård-Petersen	BOT	V. Smedegård-Petersen
V. Suard	BOT	V. Suard
V. Subba Rao	BOT	V. Subba Rao
V. Subramoniam	BOT	V. Subramoniam
V. Tredici	BOT	V. Tredici
V. Tripathi	BOT	V. Tripathi
V. V. Kuczerevskij	BOT	V. V. Kuczerevskij
V. V. Sivarajan	BOT	V. V. Sivarajan
V. Venkateswarlu	BOT	V. Venkateswarlu
V. Visalakshmi	BOT	V. Visalakshmi
V. Vlaciha	BOT	V. Vlaciha
V. Yasnitskii	BOT	V. Yasnitskii
V. Zaman	BOT	V. Zaman
V.A. Amalraj	BOT	V.A. Amalraj
V.A. Chevtaeva	BOT	V.A. Chevtaeva
V.A. Elovskij	BOT	V.A. Elovskij
V.A. Farook	BOT	V.A. Farook
V.A. Golub	BOT	V.A. Golub
V.A. Milano	BOT	V.A. Milano
V.A. Moshkin	BOT	V.A. Moshkin
V.A. Nechaev	BOT	V.A. Nechaev
V.A. Nedolushko	BOT	V.A. Nedolushko
V.A. Nikolajev	BOT	V.A. Nikolajev
V.A. Növgaard	BOT	V.A. Növgaard
V.A. Putterill	BOT	V.A. Putterill
V.A. Rudavskaja	BOT	V.A. Rudavskaja
V.A. Schkurenko	BOT	V.A. Schkurenko
V.A. Shultz	BOT	V.A. Shultz
V.A. Timpko	BOT	V.A. Timpko
V.A. Vahrameev	BOT	V.A. Vahrameev
V.A. Vakhrameev	BOT	V.A. Vakhrameev
V.A. Zaiats	BOT	V.A. Zaiats
V.B. Bakare	BOT	V.B. Bakare
V.B. Enken	BOT	V.B. Enken
V.B. Lehtola	BOT	V.B. Lehtola
V.B. Shukla	BOT	V.B. Shukla
V.B. Sreekumar	BOT	V.B. Sreekumar
V.B. Vozzhinskaja	BOT	V.B. Vozzhinskaja
V.C. Anguli	BOT	V.C. Anguli
V.C. Anozie	BOT	V.C. Anozie
V.C. Green	BOT	V.C. Green
V.C. Janaki	BOT	V.C. Janaki
V.C. Misra	BOT	V.C. Misra
V.C. Saxsena	BOT	V.C. Saxsena
V.D. Chauhan	BOT	V.D. Chauhan
V.D. Dmitriev	BOT	V.D. Dmitriev
V.D. Krassavin	BOT	V.D. Krassavin
V.D. Nikolskaya	BOT	V.D. Nikolskaya
V.D. Prynada	BOT	V.D. Prynada
V.E. Ivanov	BOT	V.E. Ivanov
V.E. Jazkulieva	BOT	V.E. Jazkulieva
V.E. Madre	BOT	V.E. Madre
V.E. Masiulionis	BOT	V.E. Masiulionis
V.E. Pissarev	BOT	V.E. Pissarev
V.E. Tyler	BOT	V.E. Tyler
V.E. Vzkulieva	BOT	V.E. Vzkulieva
V.F. Butkus	BOT	V.F. Butkus
V.F. Lubimova	BOT	V.F. Lubimova
V.F. Nikolajev	BOT	V.F. Nikolajev
V.F. Novinskaya	BOT	V.F. Novinskaya
V.F. Pavlenko	BOT	V.F. Pavlenko
V.F. Tarasevich	BOT	V.F. Tarasevich
V.Flechtmann Ferreira	BOT	V.Flechtmann Ferreira
V.G. Epiktetov	BOT	V.G. Epiktetov
V.G. Fedorov	BOT	V.G. Fedorov
V.G. Guyénot	BOT	V.G. Guyénot
V.G. Mhaiskar	BOT	V.G. Mhaiskar
V.G. Nikogossjan	BOT	V.G. Nikogossjan
V.G. Sergienko	BOT	V.G. Sergienko
V.G. Tzagolova	BOT	V.G. Tzagolova
V.G. Zimina	BOT	V.G. Zimina
V.Girish Naik	BOT	V.Girish Naik
V.H. Bertullo	BOT	V.H. Bertullo
V.H. Pawar	BOT	V.H. Pawar
V.H. Skolka	BOT	V.H. Skolka
V.H.C. Jarrett	BOT	V.H.C. Jarrett
V.I. Avdeev	BOT	V.I. Avdeev
V.I. Gordenko	BOT	V.I. Gordenko
V.I. Gornostaǐ	BOT	V.I. Gornostaǐ
V.I. Kurbatsky	BOT	V.I. Kurbatsky
V.I. Mastrorilli	BOT	V.I. Mastrorilli
V.I. Michajlov	BOT	V.I. Michajlov
V.I. Tkatschenko	BOT	V.I. Tkatschenko
V.I. Trifonova	BOT	V.I. Trifonova
V.I. Troshkina	BOT	V.I. Troshkina
V.I. Álvarez	BOT	V.I. Álvarez
V.J. Galea	BOT	V.J. Galea
V.J. Nikolajev	BOT	V.J. Nikolajev
V.J.E. McCauley	BOT	V.J.E. McCauley
V.Ja. Czerdantseva	BOT	V.Ja. Czerdantseva
V.K. Chandini	BOT	V.K. Chandini
V.K. Dagaeva	BOT	V.K. Dagaeva
V.K. Dhargalkar	BOT	V.K. Dhargalkar
V.K. Hopsu-Havu	BOT	V.K. Hopsu-Havu
V.K. Jadhav	BOT	V.K. Jadhav
V.K. Neophytova	BOT	V.K. Neophytova
V.K. Satheesh	BOT	V.K. Satheesh
V.K. Sreenivas	BOT	V.K. Sreenivas
V.K. Thakur	BOT	V.K. Thakur
V.K. Tschernov	BOT	V.K. Tschernov
V.K.H. Baghdadi	BOT	V.K.H. Baghdadi
V.L. Castroagudín	BOT	V.L. Castroagudín
V.L. Hasenbusch	BOT	V.L. Hasenbusch
V.L. Koslovsky	BOT	V.L. Koslovsky
V.L. Marsh	BOT	V.L. Marsh
V.L. Semerikov	BOT	V.L. Semerikov
V.L. Vitkovskiy	BOT	V.L. Vitkovskiy
V.M. Dshanaëva	BOT	V.M. Dshanaëva
V.M. Garkovenko	BOT	V.M. Garkovenko
V.M. Khanminchun	BOT	V.M. Khanminchun
V.M. Klokov	BOT	V.M. Klokov
V.M. Kossych	BOT	V.M. Kossych
V.M. Michaleva	BOT	V.M. Michaleva
V.M. Obukhova	BOT	V.M. Obukhova
V.M. Parada	BOT	V.M. Parada
V.M. Prima	BOT	V.M. Prima
V.M. Savicz-Ryczegorski	BOT	V.M. Savicz-Ryczegorski
V.M. Scharapov	BOT	V.M. Scharapov
V.M. Sharapov	BOT	V.M. Sharapov
V.M. Supatashvili	BOT	V.M. Supatashvili
V.M. Urusov	BOT	V.M. Urusov
V.M. Van	BOT	V.M. Van
V.M.G. Nair	BOT	V.M.G. Nair
V.N. Ashalatha	BOT	V.N. Ashalatha
V.N. Ballal	BOT	V.N. Ballal
V.N. Baturina	BOT	V.N. Baturina
V.N. Belous	BOT	V.N. Belous
V.N. Borissova	BOT	V.N. Borissova
V.N. Danilevich	BOT	V.N. Danilevich
V.N. Kerimov	BOT	V.N. Kerimov
V.N. Kinkar	BOT	V.N. Kinkar
V.N. Lyssov	BOT	V.N. Lyssov
V.N. Makhaev	BOT	V.N. Makhaev
V.N. Nikolajev	BOT	V.N. Nikolajev
V.N. Pardeshi	BOT	V.N. Pardeshi
V.N. Pathak	BOT	V.N. Pathak
V.N. Sanjai	BOT	V.N. Sanjai
V.N. Sekunova	BOT	V.N. Sekunova
V.N. Starodubtzev	BOT	V.N. Starodubtzev
V.N. Vekshina	BOT	V.N. Vekshina
V.O. Zakharchenko	BOT	V.O. Zakharchenko
V.P. Agnihotri	BOT	V.P. Agnihotri
V.P. Bhide	BOT	V.P. Bhide
V.P. Czechov	BOT	V.P. Czechov
V.P. Denisov	BOT	V.P. Denisov
V.P. Ekimov	BOT	V.P. Ekimov
V.P. Gokhale	BOT	V.P. Gokhale
V.P. Grankina	BOT	V.P. Grankina
V.P. Jain	BOT	V.P. Jain
V.P. Sahni	BOT	V.P. Sahni
V.P. Serov	BOT	V.P. Serov
V.P. Shcherbak	BOT	V.P. Shcherbak
V.P. Tkachik	BOT	V.P. Tkachik
V.P. Victorov	BOT	V.P. Victorov
V.P. Vladimirović	BOT	V.P. Vladimirović
V.R. Pandotra	BOT	V.R. Pandotra
V.R. Rao	BOT	V.R. Rao
V.R. Yadav	BOT	V.R. Yadav
V.R.Thulasi Reddy	BOT	V.R.Thulasi Reddy
V.Ravindra Nath	BOT	V.Ravindra Nath
V.S. Agababjan	BOT	V.S. Agababjan
V.S. Anil Kumar	BOT	V.S. Anil Kumar
V.S. Bahekar	BOT	V.S. Bahekar
V.S. Bale	BOT	V.S. Bale
V.S. Bushula	BOT	V.S. Bushula
V.S. Dadwal	BOT	V.S. Dadwal
V.S. Ediger	BOT	V.S. Ediger
V.S. Govindarajan	BOT	V.S. Govindarajan
V.S. Jabrova-Kolakovskaja	BOT	V.S. Jabrova-Kolakovskaja
V.S. Lopez	BOT	V.S. Lopez
V.S. Malyavkina	BOT	V.S. Malyavkina
V.S. Mehrotra	BOT	V.S. Mehrotra
V.S. Meleshchenko	BOT	V.S. Meleshchenko
V.S. Muratova	BOT	V.S. Muratova
V.S. Nair	BOT	V.S. Nair
V.S. Noruzov	BOT	V.S. Noruzov
V.S. Novruzov	BOT	V.S. Novruzov
V.S. Schaga	BOT	V.S. Schaga
V.S. Scharaschova	BOT	V.S. Scharaschova
V.S. Serafimov	BOT	V.S. Serafimov
V.S. Seshadri	BOT	V.S. Seshadri
V.S. Sharma	BOT	V.S. Sharma
V.S. Simagin	BOT	V.S. Simagin
V.S. Sun-Den-Kho	BOT	V.S. Sun-Den-Kho
V.S. Titov	BOT	V.S. Titov
V.T. Antony	BOT	V.T. Antony
V.T. Panasenko	BOT	V.T. Panasenko
V.T. Sridharan	BOT	V.T. Sridharan
V.Thomas Parker	BOT	V.Thomas Parker
V.V Apte	BOT	V.V Apte
V.V. Agadi	BOT	V.V. Agadi
V.V. Bakanova	BOT	V.V. Bakanova
V.V. Bhatt	BOT	V.V. Bhatt
V.V. Busik	BOT	V.V. Busik
V.V. Fisjun	BOT	V.V. Fisjun
V.V. Golatkar	BOT	V.V. Golatkar
V.V. Gorbatovsky	ZOO	V.V. Gorbatovsky	Gorbatovsky
V.V. Jakubov	BOT	V.V. Jakubov
V.V. Karimova	BOT	V.V. Karimova
V.V. Kirjanov	BOT	V.V. Kirjanov
V.V. Kricsfalusý	BOT	V.V. Kricsfalusý
V.V. Lipatova	BOT	V.V. Lipatova
V.V. Melnikova	BOT	V.V. Melnikova
V.V. Muchina	BOT	V.V. Muchina
V.V. Naveen Kumar	BOT	V.V. Naveen Kumar
V.V. Novosad	BOT	V.V. Novosad
V.V. Osychnyuk	BOT	V.V. Osychnyuk
V.V. Pissjaukova	BOT	V.V. Pissjaukova
V.V. Ponomarenko	BOT	V.V. Ponomarenko
V.V. Sastri	BOT	V.V. Sastri
V.V. Stassova	BOT	V.V. Stassova
V.V. Vartapetyan	BOT	V.V. Vartapetyan
V.X. Phuong	BOT	V.X. Phuong
V.Yu. Razzhivin	BOT	V.Yu. Razzhivin
Vaclav Anthony Chadim	BOT	Vaclav Anthony Chadim
Vactor Tousey Chambers	ZOO	Vactor Tousey Chambers
Vadakkoot Sankaran Hareesh	BOT	Vadakkoot Sankaran Hareesh
Vadim A. Bakalin	BOT	Vadim A. Bakalin
Vadim Alexandrovich Mel'nik	BOT	Vadim Alexandrovich Mel'nik
Vadim D. Vladykov	ZOO	Vadim D. Vladykov	Vladykov
Vadim Nikolaevich Pavlov	BOT	Vadim Nikolaevich Pavlov
Vadim Nikolaevich Tikhomirov	BOT	Vadim Nikolaevich Tikhomirov
Vadim Petrovich Nikitin	BOT	Vadim Petrovich Nikitin
Vadim Sergeevich Poretzky	BOT	Vadim Sergeevich Poretzky
Vadim Stepanovich Lechnovich	BOT	Vadim Stepanovich Lechnovich
Vadim V. Zolotuhin	ZOO	Vadim V. Zolotuhin	Zolotuhin
Vagn Alstrup	BOT	Vagn Alstrup
Vagner Cortez	BOT	Vagner Cortez
Vahideh Nazeri	BOT	Vahideh Nazeri
Vaishali C. Joshi	BOT	Vaishali C. Joshi
Vaishali Shinde	BOT	Vaishali Shinde
Val B. Salares	BOT	Val B. Salares
Val Stajsic	BOT	Val Stajsic
Valderes B. Junior Sarnaglia	BOT	Valderes B. Junior Sarnaglia
Vale Vouk	BOT	Vale Vouk
Valentin Camille Walter Queloz	BOT	Valentin Camille Walter Queloz
Valentin Dogiel	BOT	Valentin Dogiel
Valentin Humnicki	BOT	Valentin Humnicki
Valentin I. Burenin	BOT	Valentin I. Burenin
Valentin Krasilov	BOT	Valentin Krasilov
Valentin Leiblein	BOT	Valentin Leiblein
Valentin Lvovich Bianchi	ZOO	Valentin Lvovich Bianchi
Valentin Pospíšil	BOT	Valentin Pospíšil
Valentin Torka	BOT	Valentin Torka
Valentin V. Tikhonov	ZOO	Valentin V. Tikhonov	Tikhonov
Valentina A. Kirpichnikova	ZOO	Valentina A. Kirpichnikova	Kirpichnikova
Valentina Alekseevna Koroleva	BOT	Valentina Alekseevna Koroleva
Valentina Alekseevna Samylina	BOT	Valentina Alekseevna Samylina
Valentina Fedorovna Przhemenetskaya	BOT	Valentina Fedorovna Przhemenetskaya
Valentina G. Kuznetsova	ZOO	Valentina G. Kuznetsova	Kuznetzova
Valentina Gladkova	BOT	Valentina Gladkova
Valentina I. Tolkanitz	ZOO	Valentina I. Tolkanitz	Tolkanitz
Valentina Ivanovna Perfiljeva	BOT	Valentina Ivanovna Perfiljeva
Valentina Ivanovna Potlaichuk	BOT	Valentina Ivanovna Potlaichuk
Valentina Karatajūtė-Talimaa	ZOO	Valentina Karatajūtė-Talimaa	Karatajute-Talimaa
Valentina M. Blagodatskaja	BOT	Valentina M. Blagodatskaja
Valentina Mikhailovna Sveshnikova	BOT	Valentina Mikhailovna Sveshnikova
Valentina Nikolaevna Nikitina	BOT	Valentina Nikolaevna Nikitina
Valentina Salas	BOT	Valentina Salas
Valentina Sergeevna Sheshukova-Poretzkaya	BOT	Valentina Sergeevna Sheshukova-Poretzkaya
Valentina Starchenko	BOT	Valentina Starchenko
Valentina Stepanovna Kornilova	BOT	Valentina Stepanovna Kornilova
Valentina V. Mukhina	BOT	Valentina V. Mukhina
Valentine Allorge	BOT	Valentine Allorge
Valentine Ball	ZOO	Valentine Ball
Valentine Moreau	BOT	Valentine Moreau
Valeria A. Taborda	BOT	Valeria A. Taborda
Valeria Carlesi	BOT	Valeria Carlesi
Valeria Filipello Marchisio	BOT	Valeria Filipello Marchisio
Valeria Prigione	BOT	Valeria Prigione
Valeria Tomaselli	BOT	Valeria Tomaselli
Valeria Zamparelli	BOT	Valeria Zamparelli
Valerian Ivanovich Gratzianow	ZOO	Valerian Ivanovich Gratzianow	Gratzianow
Valerian Konstantinovich Kobelev	BOT	Valerian Konstantinovich Kobelev
Valerian von Möller	BOT	Valerian von Möller
Valeriano Luigi Brera	BOT	Valeriano Luigi Brera
Valerie Dann	BOT	Valerie Dann
Valerie H. Boughton	BOT	Valerie H. Boughton
Valerie May	BOT	Valerie May
Valerie R. Flechtner	BOT	Valerie R. Flechtner
Valerie Vasseur	BOT	Valerie Vasseur
Valerij Ivanovich Uljanishchev	BOT	Valerij Ivanovich Uljanishchev
Valerio Giacomini	BOT	Valerio Giacomini
Valerio Lazzeri	BOT	Valerio Lazzeri
Valeriu Zanoschi	BOT	Valeriu Zanoschi
Valery Ivanovich Grubov	BOT	Valery Ivanovich Grubov
Valery N. Tikhomirov	BOT	Valery N. Tikhomirov
Valery Taliyev	BOT	Valery Taliyev
Valery V. Darmostuk	BOT	Valery V. Darmostuk
Valiollah Mozaffarian	BOT	Valiollah Mozaffarian
Vallery Mangal	BOT	Vallery Mangal
Valoís González	BOT	Valoís González
Valquíria Ferreira Dutra	BOT	Valquíria Ferreira Dutra
Valter Fraga Nunes	BOT	Valter Fraga Nunes
Valter Monteiro de Azevedo-Santos	ZOO	Valter Monteiro de Azevedo-Santos	Azevedo-Santos
Valter Raineri	ZOO	Valter Raineri	Raineri
Valter Weijola	ZOO	Valter Weijola	Weijola
Valukattil Ponnachan Thomas	BOT	Valukattil Ponnachan Thomas
Valéria da Silva Sampaio	BOT	Valéria da Silva Sampaio
Valéria Ferreira-Lopes	BOT	Valéria Ferreira-Lopes
Valéria M. Godinho	BOT	Valéria M. Godinho
Valéria N. Machado	ZOO	Valéria N. Machado
Valérie Hofstetter	BOT	Valérie Hofstetter
Valérie Maluma	BOT	Valérie Maluma
Valérie Reeb	BOT	Valérie Reeb
Valéry Malécot	BOT	Valéry Malécot
Vaman Dattatraya Vartak	BOT	Vaman Dattatraya Vartak
Vamona Xeldencar	BOT	Vamona Xeldencar
Van Canh Nguyen	BOT	Van Canh Nguyen
Van Cuong Vu	BOT	Van Cuong Vu
Van Dung Luong	BOT	Van Dung Luong
Van Dung Vu	BOT	Van Dung Vu
Van Dzu Nguyen	BOT	Van Dzu Nguyen
Van Hoi Quach	BOT	Van Hoi Quach
Van Huong Bui	BOT	Van Huong Bui
Van Son Le	BOT	Van Son Le
Van The Pham	BOT	Van The Pham
Van Tho Nguyen	BOT	Van Tho Nguyen
Van Tien Tran	BOT	Van Tien Tran
Van Tkhan Nguen	BOT	Van Tkhan Nguen
Vanamo Salo	BOT	Vanamo Salo
Vanctexa Dessai	BOT	Vanctexa Dessai
Vanda Kochansky-Devidé	BOT	Vanda Kochansky-Devidé
Vandana Tiwari	BOT	Vandana Tiwari
Vanderhorst	BOT	Vanderhorst
Vandika Avetisyan	BOT	Vandika Avetisyan
Vanessa Amaya-Vallejo	ZOO	Vanessa Amaya-Vallejo	Amaya-Vallejo
Vanessa Di Vincenzo	BOT	Vanessa Di Vincenzo
Vanessa Grazielle Staggemeier	BOT	Vanessa Grazielle Staggemeier
Vanessa Hequet	BOT	Vanessa Hequet
Vanessa Holanda Righetti De Abreu	BOT	Vanessa Holanda Righetti De Abreu
Vanessa Imaculada dos Reis Valério	BOT	Vanessa Imaculada dos Reis Valério
Vanessa Kruth Verdade	ZOO	Vanessa Kruth Verdade	Verdade
Vanessa Lopes Rivera	BOT	Vanessa Lopes Rivera
Vanessa P. Abreu	BOT	Vanessa P. Abreu
Vanessa Plana	BOT	Vanessa Plana
Vanessa Pérez	BOT	Vanessa Pérez
Vanessa R. Invernón	BOT	Vanessa R. Invernón
Vanessa Rojas-Piña	BOT	Vanessa Rojas-Piña
Vanessa Rosemary Duke Barrs	BOT	Vanessa Rosemary Duke Barrs
Vanessa Terra	BOT	Vanessa Terra
Vanezza Morales-Fierro	BOT	Vanezza Morales-Fierro
Vania Gonzales-Esteves	BOT	Vania Gonzales-Esteves
Vania Nobuko Yoshikawa	BOT	Vania Nobuko Yoshikawa
Vania Oliveira de Carvalho	BOT	Vania Oliveira de Carvalho
Vania Torrez	BOT	Vania Torrez
Vanniyil K. Muralidharan	BOT	Vanniyil K. Muralidharan
Vanucchi	BOT	Vanucchi
Varaprasatham Irudayaraj	BOT	Varaprasatham Irudayaraj
Varda Kagan-Zur	BOT	Varda Kagan-Zur
Varda Raviv	BOT	Varda Raviv
Variampally Sankar Harikumar	BOT	Variampally Sankar Harikumar
Varner James Cook	BOT	Varner James Cook
Varsha P. Gaikwad	BOT	Varsha P. Gaikwad
Varsha V. Nimbalkar	BOT	Varsha V. Nimbalkar
Varvara Filipovna Antropova	BOT	Varvara Filipovna Antropova
Vasant Gurunath Rao	BOT	Vasant Gurunath Rao
Vasant Rao	BOT	Vasant Rao
Vasanta I. Kahalkar	BOT	Vasanta I. Kahalkar
Vasco Silva	BOT	Vasco Silva
Vasil Vasilevicz Marcowicz	BOT	Vasil Vasilevicz Marcowicz
Vasile Ciocârlan	BOT	Vasile Ciocârlan
Vasile Codoreanu	BOT	Vasile Codoreanu
Vasile Deku	BOT	Vasile Deku
Vasile G. Decu	ZOO	Vasile G. Decu	Decu
Vasile Tutunaru	BOT	Vasile Tutunaru
Vasile Velican	BOT	Vasile Velican
Vasileios Kaounas	BOT	Vasileios Kaounas
Vasili Drobov	BOT	Vasili Drobov
Vasili Yakovlevich Zinger	BOT	Vasili Yakovlevich Zinger
Vasilii Sergeevich Govoruchin	BOT	Vasilii Sergeevich Govoruchin
Vasilij Adamovich Riabenko	BOT	Vasilij Adamovich Riabenko
Vasilij Andreevich Khizhnjak	BOT	Vasilij Andreevich Khizhnjak
Vasilij Igorevich Kozhanchikov	BOT	Vasilij Igorevich Kozhanchikov
Vasilij Trof’movich Krassochkin	BOT	Vasilij Trof’movich Krassochkin
Vasilij Vasilievich Stepanov	BOT	Vasilij Vasilievich Stepanov
Vasilij Viktorovich Zuev	BOT	Vasilij Viktorovich Zuev
Vasilis Christodoulou	BOT	Vasilis Christodoulou
Vasilis Ioannidis	BOT	Vasilis Ioannidis
Vasilis Teodoridis	BOT	Vasilis Teodoridis
Vasiliy Vasilievich Alechin	BOT	Vasiliy Vasilievich Alechin
Vasiliĭ Ivanovich Antropov	BOT	Vasiliĭ Ivanovich Antropov
Vasily Danilewsky	BOT	Vasily Danilewsky
Vasily Karlovich Sowinsky	ZOO	Vasily Karlovich Sowinsky	Sowinsky
Vasily Kuprevich	BOT	Vasily Kuprevich
Vasily Matveyevich Chernyayev	BOT	Vasily Matveyevich Chernyayev
Vasily N. Kovtunovich	ZOO	Vasily N. Kovtunovich	Kovtunovich
Vasily Nikitin	BOT	Vasily Nikitin
Vasily Prinada	BOT	Vasily Prinada
Vasily S. Vishnyakov	BOT	Vasily S. Vishnyakov
Vasily Sidorenko	ZOO	Vasily Sidorenko	Sidorenko
Vasily Victorovich Anikin	ZOO	Vasily Victorovich Anikin	Anikin
Vasily Viktorovich Grebennikov	ZOO	Vasily Viktorovich Grebennikov	Grebennikov
Vasily Yakimov	BOT	Vasily Yakimov
Vassil Al. Balabanov	BOT	Vassil Al. Balabanov
Vassil Tomov	ZOO	Vassil Tomov	Tomov
Vassili Sapojnikov	BOT	Vassili Sapojnikov
Vassiliki K. Karapapa	BOT	Vassiliki K. Karapapa
Vassiliki Skourtsis-Coroneou	ZOO	Vassiliki Skourtsis-Coroneou	Skourtsis-Koronaiou
Vassiliy Veniaminovich Belov	ZOO	Vassiliy Veniaminovich Belov	Belov
Vasudeo Narayan Naik	BOT	Vasudeo Narayan Naik
Vasudeva B. Krishnamurthy	BOT	Vasudeva B. Krishnamurthy
Vasun Petcharat	BOT	Vasun Petcharat
Vasun Poengsungnoen	BOT	Vasun Poengsungnoen
Vasyl P. Heluta	BOT	Vasyl P. Heluta
Vasyl' Ivanovych Didus'	BOT	Vasyl' Ivanovych Didus'
Vatsavaya Satyanarayana Raju	BOT	Vatsavaya Satyanarayana Raju
Vaucher	BOT	Vaucher
Vaughan MacCaughey	BOT	Vaughan MacCaughey
Vazrick Nazari	ZOO	Vazrick Nazari	Nazari
Veena Chandra	BOT	Veena Chandra
Veena Das	BOT	Veena Das
Veena Sharma	BOT	Veena Sharma
Veena Sinha	BOT	Veena Sinha
Veenakumari Kamalanathan	BOT	Veenakumari Kamalanathan
Veera Sri-indrasutdhi	BOT	Veera Sri-indrasutdhi
Veerambakkam Srinivasan Ramachandran	BOT	Veerambakkam Srinivasan Ramachandran
Veerankutty Suresh	BOT	Veerankutty Suresh
Veerichetty Chandrasekaran	BOT	Veerichetty Chandrasekaran
Veerle Van den Eynden	BOT	Veerle Van den Eynden
Veikko Hintikka	BOT	Veikko Hintikka
Veit Martin Dörken	BOT	Veit Martin Dörken
Veit Wittrock	BOT	Veit Wittrock
Veja Velloso de Miranda	BOT	Veja Velloso de Miranda
Velcho Ivanov Velchev	BOT	Velcho Ivanov Velchev
Velez	BOT	Velez
Veli İlhan	BOT	Veli İlhan
