A J Cronquist	BOT	Cronquist	Arthur John Cronquist
A J D Bruijn	BOT	Bruijn	Ary Johannes De Bruijn	Ary Johannes de Bruijn
A J Delahoussaye	BOT	Delahouss.	A. James Delahoussaye
A J Eames	BOT	A.J.Eames	Arthur Johnson Eames
A J Ewart	BOT	Ewart	Alfred James Ewart
A J G H Kostermans	BOT	Kosterm.	André Joseph Guillaume Henri Kostermans
A J G K Batsch	BOT	Batsch	August Johann Georg Karl Batsch
A J Hartman	BOT	Al.Jahn	Alfredo Jahn Hartman
A J Hill	BOT	A.J.Hill	Albert Joseph Hill
A J Huxley	BOT	Huxley	Anthony Julian Huxley
A J J Jalas	BOT	Jalas	Arvo Jaakko Juhani Jalas
A J Krocker	BOT	Krock.	Anton Johann Krocker
A J M Baker	BOT	A.J.M.Baker	Alan John Martin Baker
A J M Leeuwenberg	BOT	Leeuwenb.	Anthonius Josephus Maria Leeuwenberg
A J Malmgren	BOT	Malmgren	Anders Johan Malmgren
A J O Penzig	BOT	Penz.	Albert Julius Otto Penzig
A J Paton	BOT	A.J.Paton	Alan James Paton
A J Retzius	BOT	Retz.	Anders Johan Retzius
A J Scott	BOT	A.J.Scott	Andrew John Scott
A J Vidal	BOT	Vidal	António José Vidal
A Jaeger	BOT	A.Jaeger	August Jaeger
A K Bedevian	BOT	Bedevian	Armenag K. Bedevian
A K H Braun	BOT	A.Braun	Alexander Karl Heinrich Braun
A K Irvine	BOT	A.K.Irvine	Anthony Kyle Irvine
A K J Hartwig	BOT	Hartwig	August Karl Julius Hartwig
A K Pradeep	BOT	Pradeep	Ayilliath K. Pradeep
A K S K Prasad	BOT	A.K.S.Prasad	Akshinthala K. Sai Krishna Prasad	Akshinthala K.Sai Krishna Prasad
A K Schindler	BOT	Schindl.	Anton Karl Schindler
A K von Marilaun	BOT	A.Kern.	Anton Kerner von Marilaun
A K Wallace	BOT	A.K.Wallace	Anne Karin Wallace
A Kanis	BOT	Kanis	Andrias Kanis
A Kanitz	BOT	Kanitz	August Kanitz
A Kappler	BOT	Kappl.	August Kappler
A Kellogg	BOT	Kellogg	Albert Kellogg
A Koorders-Schumacher	BOT	Koord.-Schum.	Anna Koorders-Schumacher
A Kornhuber	BOT	Kornh.	Andreas von Kornhuber
A Krapovickas	BOT	Krapov.	Antonio Krapovickas
A Kurtto	BOT	Kurtto	Arto Kurtto
A Kurz	BOT	A.Kurz	Albert Kurz
A L A Fée	BOT	Fée	Antoine Laurent Apollinaire Fée
A L Andrews	BOT	A.L.Andrews	Albert LeRoy Andrews
A L Andrzejowski	BOT	Andrz.	Antoni Lukianowicz Andrzejowski
A L de Jussieu	BOT	Juss.	Antoine Laurent de Jussieu
A L Lamb	BOT	A.L.Lamb	Anthony L. Lamb
A L Marquis	BOT	Marquis	Alexandre Louis Marquis
