id	wikidata	ipni	zoobank	formerIds	family	given	suffix	born	died	activeFrom	activeTo	groups	source
ipni:20046594-1		20046594-1			Klenze	W.				1856	1856	Angiosperms|Gymnosperms	ipni
ipni:20046595-1		20046595-1			Dutt	Clemens Palme		1893	1975				ipni
ipni:20046597-1		20046597-1			Andreis	Franco				2021	2021	Pteridophytes	ipni
ipni:20046598-1		20046598-1			Lutz	Josef Ludwig		1907	1963				ipni
ipni:20046599-1		20046599-1			Lutz	Alicia Isabel		1949	2016				ipni
ipni:20046600-1		20046600-1			Rakosy	Demetra				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046602-1		20046602-1			Nogueira	Matheus Guimarães Cardoso				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046603-1		20046603-1			Pessoa	Joaquim				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046604-1		20046604-1			Borges	Luísa				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046605-1		20046605-1			Brill	Gregg				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046606-1		20046606-1			Davitashvili	Leo Shiovich		1895	1977				ipni
ipni:20046607-1		20046607-1			Compter	Gustav		1831	1922				ipni
ipni:20046608-1		20046608-1			Paris	Florentin		1945					ipni
ipni:20046609-1		20046609-1			Maslova	Natalia Pavlovna		1959				Fungi	ipni
ipni:20046613-1		20046613-1			Bisewski	Gessica C. A.				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046614-1		20046614-1			Zamengo	Henrique Borges				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046615-1		20046615-1			Torres	Roseli Buzanelli				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046616-1		20046616-1			Miranda	Cecília Vieira				2019	2019	Angiosperms|Gymnosperms	ipni
ipni:20046619-1		20046619-1			Bratzeva	Greta Mikhailovna		1928	2020				ipni
ipni:20046620-1		20046620-1			Conkin	James Elvin		1924	2017				ipni
ipni:20046621-1		20046621-1			Conkin	Barbara Moyer		1928	2019				ipni
ipni:20046622-1		20046622-1			Onoe	Tōru				1959	1959		ipni
ipni:20046623-1		20046623-1			Kawasaki	Shigetarō		1878	1940				ipni
ipni:20046624-1		20046624-1			Leu	Andre				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046625-1		20046625-1			Berendt	Werner		1892	1979				ipni
ipni:20046627-1		20046627-1			Gregory	George South		1938	2019				ipni
ipni:20046628-1		20046628-1			Langford	George		1876	1964				ipni
ipni:20046630-1		20046630-1			Tripathi	Pateshwari Prasad		1943	2021				ipni
ipni:20046631-1		20046631-1			Akhil	Mannar Kandy				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046632-1		20046632-1			Amrutha	Athalappil				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046634-1		20046634-1			Monteverde y Bello	Manuel de		1792	1872			Angiosperms|Gymnosperms	ipni
ipni:20046635-1		20046635-1			Betancourt y Sánchez Pereira	Tomás Pío		1798	1863			Angiosperms|Gymnosperms	ipni
ipni:20046636-1		20046636-1			Delle	Galina Vasilievna		1931	2014				ipni
ipni:20046637-1		20046637-1			I.N.Schmidt	Iya Nikolaevna		1939					ipni
ipni:20046638-1		20046638-1			Kondratiev	Georgij Kondratievich		1907					ipni
ipni:20046641-1		20046641-1			Satthaphorn	Jiratthi				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046643-1		20046643-1			Patel	Suresh K.				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046644-1		20046644-1			Maximowicz	Mikhail Alexandrovich		1804	1873			Angiosperms|Gymnosperms	ipni
ipni:20046645-1		20046645-1			Olaru	Leonard		1936				Algae	ipni
ipni:20046646-1		20046646-1			Guzmán-Díaz	Salvador				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046649-1		20046649-1			Kahlert	Eberhard		1931	2018				ipni
ipni:20046652-1		20046652-1			Schröder	Kurt		1929	2017				ipni
ipni:20046657-1		20046657-1			Chavchavadze	Evgenija Savelievna		1931					ipni
ipni:20046659-1		20046659-1			Zeng	Si-Yuan				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046660-1		20046660-1			Silambarasan	Rajendran				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046661-1		20046661-1			Murillo-Murillo	José Martín				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046662-1		20046662-1			Shinde	Rajendra D.		1963				Angiosperms|Gymnosperms	ipni
ipni:20046663-1		20046663-1			Wilde	Brendan C.				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046664-1		20046664-1			Romero-Ceciliano	Marysol				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046665-1		20046665-1			Flores-Rojas	Jeffrey				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046667-1		20046667-1			Toker	Cengiz				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046668-1		20046668-1			Rajesh	Ramasamy		1988				Angiosperms|Gymnosperms	ipni
