person	relation	other	source
wd:Q3904238	PARENT	wd:Q2570210	wikidata
wd:Q4026999	PARENT	wd:Q2361145	wikidata
wd:Q4081202	PARENT	wd:Q730330	wikidata
wd:Q4081464	PARENT	wd:Q2587046	wikidata
wd:Q4088004	SIBLING	wd:Q545038	wikidata
wd:Q4088317	PARENT	wd:Q21506212	wikidata
wd:Q4111351	PARENT	wd:Q2613598	wikidata
wd:Q4111351	PARENT	wd:Q3176114	wikidata
wd:Q4111351	SIBLING	wd:Q5730819	wikidata
wd:Q4112160	PARENT	wd:Q5725954	wikidata
wd:Q4156648	PARENT	wd:Q14837	wikidata
wd:Q4182042	SIBLING	wd:Q432734	wikidata
wd:Q4182042	SIBLING	wd:Q435674	wikidata
wd:Q4263287	PARENT	wd:Q353283	wikidata
wd:Q4292977	PARENT	wd:Q3500567	wikidata
wd:Q4302303	SIBLING	wd:Q5443832	wikidata
wd:Q432734	SIBLING	wd:Q435674	wikidata
wd:Q434507	PARENT	wd:Q435725	wikidata
wd:Q4355461	PARENT	wd:Q2628991	wikidata
wd:Q441248	PARENT	wd:Q62989	wikidata
wd:Q442167	PARENT	wd:Q2492200	wikidata
wd:Q448369	SIBLING	wd:Q682867	wikidata
wd:Q4502879	SIBLING	wd:Q87967	wikidata
wd:Q4505737	PARENT	wd:Q2079434	wikidata
wd:Q45346	PARENT	wd:Q3825435	wikidata
wd:Q46081	PARENT	wd:Q322185	wikidata
wd:Q47113829	PARENT	wd:Q528476	wikidata
wd:Q4795296	PARENT	wd:Q21612053	wikidata
wd:Q4811427	PARENT	wd:Q377822	wikidata
wd:Q4820735	SIBLING	wd:Q5811518	wikidata
wd:Q4868278	SIBLING	wd:Q5658466	wikidata
wd:Q4994357	PARENT	wd:Q4994348	wikidata
wd:Q50324538	PARENT	wd:Q3184228	wikidata
wd:Q50358553	PARENT	wd:Q16269375	wikidata
wd:Q5040299	PARENT	wd:Q16857300	wikidata
wd:Q5080126	SIBLING	wd:Q8962683	wikidata
wd:Q51797883	PARENT	wd:Q26085238	wikidata
wd:Q519196	SIBLING	wd:Q55072449	wikidata
wd:Q520594	PARENT	wd:Q345654	wikidata
wd:Q521190	PARENT	wd:Q192428	wikidata
