person	form	kind	code	source
ipni:20079248-1	Oviti Mullage Kasunika	FULL	ANY	ipni
ipni:20079249-1	Haluwana	STANDARD	BOT	ipni
ipni:20079249-1	Nishanthi Haluwana	FULL	ANY	ipni
ipni:20079250-1	Nilanka	STANDARD	BOT	ipni
ipni:20079250-1	Nadun Nilanka	FULL	ANY	ipni
ipni:20079251-1	F.J.Lima	STANDARD	BOT	ipni
ipni:20079251-1	Flaviana Jorge de Lima	FULL	ANY	ipni
ipni:20079252-1	Junior	STANDARD	BOT	ipni
ipni:20079252-1	Joao Tavares Calixto Junior	FULL	ANY	ipni
ipni:20079254-1	Y.Yang bis	STANDARD	BOT	ipni
ipni:20079254-1	Yong Yang	FULL	ANY	ipni
ipni:20079255-1	A.M.N.Ribeiro	STANDARD	BOT	ipni
ipni:20079255-1	Alita Maria Neves Ribeiro	FULL	ANY	ipni
ipni:20079256-1	Z.Feng	STANDARD	BOT	ipni
ipni:20079256-1	Zhuo Feng	FULL	ANY	ipni
ipni:20079257-1	Y.Zhou	STANDARD	BOT	ipni
ipni:20079257-1	Yu Zhou	FULL	ANY	ipni
ipni:20079258-1	Yu.Guo	STANDARD	BOT	ipni
ipni:20079258-1	Yun Guo	FULL	ANY	ipni
ipni:20079259-1	C.M.Mart.Mart.	STANDARD	BOT	ipni
ipni:20079259-1	Camila M. Martinez Martinez	FULL	ANY	ipni
ipni:20079260-1	Steart	STANDARD	BOT	ipni
ipni:20079260-1	David C. Steart	FULL	ANY	ipni
ipni:20079261-1	P.W.Haines	STANDARD	BOT	ipni
ipni:20079261-1	Peter W. Haines	FULL	ANY	ipni
ipni:20079262-1	Cyn.C.González	STANDARD	BOT	ipni
ipni:20079262-1	Cynthia C. González	FULL	ANY	ipni
ipni:20079263-1	Irib.	STANDARD	BOT	ipni
ipni:20079263-1	Rocio Iribarren	FULL	ANY	ipni
ipni:20079264-1	D.Contr.	STANDARD	BOT	ipni
ipni:20079264-1	Dori Contreras	FULL	ANY	ipni
ipni:20079265-1	Vallejos Leiz	STANDARD	BOT	ipni
ipni:20079265-1	Laura Vallejos Leiz	FULL	ANY	ipni
ipni:20079266-1	M.R.Pace	STANDARD	BOT	ipni
ipni:20079266-1	Marcelo R. Pace	FULL	ANY	ipni
ipni:20079267-1	Hayes	STANDARD	BOT	ipni
ipni:20079267-1	Peta Hayes	FULL	ANY	ipni
ipni:20079268-1	F.A.Bryan	STANDARD	BOT	ipni
ipni:20079268-1	Finley A. Bryan	FULL	ANY	ipni
ipni:20079269-1	С.I.Nunes	STANDARD	BOT	ipni
ipni:20079269-1	Cristina I. Nunes	FULL	ANY	ipni
ipni:20079270-1	Pittet	STANDARD	BOT	ipni
ipni:20079270-1	Bernard Pittet	FULL	ANY	ipni
ipni:20079271-1	Chaumeil-Rodr.	STANDARD	BOT	ipni
ipni:20079271-1	Micaela Chaumeil-Rodríguez	FULL	ANY	ipni
ipni:20079272-1	Mailliot	STANDARD	BOT	ipni
ipni:20079272-1	Samuel Mailliot	FULL	ANY	ipni
ipni:20079273-1	E.Mattioli	STANDARD	BOT	ipni
ipni:20079273-1	Emanuela Mattioli	FULL	ANY	ipni
ipni:20079274-1	Guerstein	STANDARD	BOT	ipni
ipni:20079274-1	Raquel Guerstein	FULL	ANY	ipni
ipni:20079275-1	Rodr.-Amenábar	STANDARD	BOT	ipni
ipni:20079275-1	Cecilia Rodríguez-Amenábar	FULL	ANY	ipni
ipni:20079276-1	Ral.W.Williams	STANDARD	BOT	ipni
ipni:20079276-1	Ralph W. Williams	FULL	ANY	ipni
ipni:20079277-1	Z.Wu	STANDARD	BOT	ipni
ipni:20079277-1	Zeling Wu	FULL	ANY	ipni
ipni:20079278-1	L.Xiao	STANDARD	BOT	ipni
ipni:20079278-1	Liang Xiao	FULL	ANY	ipni
ipni:20079279-1	D.S.Ji	STANDARD	BOT	ipni
ipni:20079279-1	De Shuang Ji	FULL	ANY	ipni
ipni:20079281-1	Wilberger	STANDARD	BOT	ipni
ipni:20079281-1	Thièrs Wilberger	FULL	ANY	ipni
ipni:20079282-1	Elgorr.	STANDARD	BOT	ipni
ipni:20079282-1	Andres Elgorriaga	FULL	ANY	ipni
ipni:20079283-1	Ortega-Flores	STANDARD	BOT	ipni
ipni:20079283-1	Berlaine Ortega-Flores	FULL	ANY	ipni
ipni:20079284-1	Hern.-Urb.	STANDARD	BOT	ipni
ipni:20079284-1	Humberto Hernández-Urban	FULL	ANY	ipni
ipni:20079285-1	Boura	STANDARD	BOT	ipni
ipni:20079285-1	Anaïs Boura	FULL	ANY	ipni
ipni:20079286-1	Gentis	STANDARD	BOT	ipni
ipni:20079286-1	Nicolas Gentis	FULL	ANY	ipni
ipni:20079287-1	T.B.Santos	STANDARD	BOT	ipni
ipni:20079287-1	Thamiris Barbosa dos Santos	FULL	ANY	ipni
ipni:20079288-1	D.M.Conc.	STANDARD	BOT	ipni
ipni:20079288-1	Domingas Maria da Conceicao	FULL	ANY	ipni
ipni:20079289-1	Gobo	STANDARD	BOT	ipni
ipni:20079289-1	William V. Gobo	FULL	ANY	ipni
ipni:20079290-1	Bachelier	STANDARD	BOT	ipni
ipni:20079290-1	Julien B. Bachelier	FULL	ANY	ipni
ipni:20079291-1	Beurel	STANDARD	BOT	ipni
ipni:20079291-1	Simon Beurel	FULL	ANY	ipni
ipni:20079292-1	T.X.Wang	STANDARD	BOT	ipni
ipni:20079292-1	Teng Xiang Wang	FULL	ANY	ipni
ipni:20079293-1	A.T.Aung	STANDARD	BOT	ipni
ipni:20079293-1	Aye Thida Aung	FULL	ANY	ipni
ipni:20079294-1	Acma	STANDARD	BOT	ipni
ipni:20079294-1	Florfe M. Acma	FULL	ANY	ipni
ipni:20079295-1	V.G.Cabana	STANDARD	BOT	ipni
ipni:20079295-1	Veneracion G. Cabana	FULL	ANY	ipni
ipni:20079296-1	N.M.Sabas	STANDARD	BOT	ipni
ipni:20079296-1	Novo M. Sabas	FULL	ANY	ipni
ipni:20079398-1	Gareiso	STANDARD	BOT	ipni
ipni:20079398-1	Joseph (Abbé) Gareiso	FULL	ANY	ipni
ipni:20079398-1	Joseph Gareizo	VARIANT	ANY	ipni
ipni:20079399-1	Srisombat	STANDARD	BOT	ipni
ipni:20079399-1	Poompat Srisombat	FULL	ANY	ipni
ipni:20079400-1	Boufleur	STANDARD	BOT	ipni
ipni:20079400-1	T. Boufleur	FULL	ANY	ipni
ipni:20079401-1	Bortnikova	STANDARD	BOT	ipni
ipni:20079401-1	N.A. Bortnikova	FULL	ANY	ipni
ipni:20079402-1	Bortnikov	STANDARD	BOT	ipni
ipni:20079402-1	F.M. Bortnikov	FULL	ANY	ipni
ipni:20079403-1	Borsato	STANDARD	BOT	ipni
ipni:20079403-1	Veronica Borsato	FULL	ANY	ipni
ipni:20079404-1	Boroń	STANDARD	BOT	ipni
ipni:20079404-1	P. Boroń	FULL	ANY	ipni
ipni:20079405-1	Borgato	STANDARD	BOT	ipni
ipni:20079405-1	L. Borgato	FULL	ANY	ipni
ipni:20079406-1	Boragine	STANDARD	BOT	ipni
ipni:20079406-1	M. Boragine	FULL	ANY	ipni
ipni:20079407-1	Boontham	STANDARD	BOT	ipni
ipni:20079407-1	Wanatchaporn Boontham	FULL	ANY	ipni
ipni:20079408-1	Boonlue	STANDARD	BOT	ipni
ipni:20079408-1	S. Boonlue	FULL	ANY	ipni
ipni:20079410-1	Bolboli	STANDARD	BOT	ipni
ipni:20079410-1	Z. Bolboli	FULL	ANY	ipni
ipni:20079411-1	Boers	STANDARD	BOT	ipni
ipni:20079411-1	J. Boers	FULL	ANY	ipni
ipni:20079412-1	Boders	STANDARD	BOT	ipni
ipni:20079412-1	K.D. Boders	FULL	ANY	ipni
ipni:20079413-1	Bölükbaşı	STANDARD	BOT	ipni
ipni:20079413-1	E. Bölükbaşı	FULL	ANY	ipni
ipni:20079415-1	Bloomf.	STANDARD	BOT	ipni
