ID|Language|Label|Definition|Description|Governance level ID|Governance level Label|Codelist ID|Codelist label|Reference Source|Reference Link|Status ID|Status label|Parent ID|Successor ID|Predecessor ID
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/ectasian4|en|Ectasian 4 *|TWG-GE term|Ectasian 4 * (older bound-1250.0 Ma, younger bound-1200.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/ectasian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/ectasian3|en|Ectasian 3 *|TWG-GE term|Ectasian 3 * (older bound-1270.0 Ma, younger bound-1250.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/ectasian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/ectasian2|en|Ectasian 2 *|TWG-GE term|Ectasian 2 * (older bound-1360.0 Ma, younger bound-1270.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/ectasian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/ectasian1|en|Ectasian 1 *|TWG-GE term|Ectasian 1 * (older bound-1400.0 Ma, younger bound-1360.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/ectasian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/calymmian|en|Calymmian|IUGS /CGI value|Calymmian (older bound-1600.0 Ma, younger bound-1400.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/mesoproterozoic||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/calymmian4|en|Calymmian 4 *|TWG-GE term|Calymmian 4 * (older bound-1440.0 Ma, younger bound-1400.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/calymmian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/calymmian3|en|Calymmian 3 *|TWG-GE term|Calymmian 3 * (older bound-1470.0 Ma, younger bound-1440.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/calymmian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/calymmian2|en|Calymmian 2 *|TWG-GE term|Calymmian 2 * (older bound-1520.0 Ma, younger bound-1470.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/calymmian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/calymmian1|en|Calymmian 1 *|TWG-GE term|Calymmian 1 * (older bound-1600.0 Ma, younger bound-1520.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/calymmian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/paleoproterozoic|en|Paleoproterozoic|IUGS /CGI value|Paleoproterozoic (older bound-2500.0 Ma, younger bound-1600.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/proterozoic||
