name,type,start,end,parent,labels
LowerTriassic,EPOCH,251.902,247.2,Triassic,Trias précoce|Tidlig Triassisk|Frühe Trias (Buntsandstein)|brzy trias|Triássico primitivo|三畳紀前期|早三叠世|zgodnji trias|kora-triász|Tidlig trias|Early Triassic|triassico precoce|Vara-Triias|Ankstyvasis Triasas|Varhais-Trias|Vroeg Trias|äldre trias|Triásico temprano|Раннен Триаѿ|raný trias|Wczesny Trias|Triásico Inferior|Dolna Trias|Lower Triassic|triassico inferiore|Ala-Trias|alsó-triász|Trias inférieur|下部三畳紀|spodnja trias|Onder Trias|spodná trias|Долна Триаѿ|下三叠纪|undre trias|undre trias|Triássico Inferior|Apatinė Triasas|spodní trias|Untertrias|Nedre Triassisk|Alam-Triias
Lopingian,EPOCH,259.1,251.902,Permian,loping|loping|lopingi|Lopingiën|Loping|Loping|Loping|Loping|Lopingiano|Lopingium|Lopingium|Lopingien|Lopingien|lopingij|ロピンギアン世|乐平世|Lopingiense|Лопинг|Lopingis|lopingiano|Lopingian
Guadalupian,EPOCH,272.95,259.1,Permian,Guadalupien|Guadalupéen|Guadalupiën|Gwadelup|Guadalupiano|Gvadalupis|guadalupei|瓜德鲁普世|Гуадалуп|ガダリューピアン世|Guadalupium|Guadalupium|guadalupij|guadalupiano|Guadalup|Guadalup|Guadalup|guadalup|guadalup|Guadalupian|Guadalupiense
Cisuralian,EPOCH,298.9,272.95,Permian,キスラリアン世|Cisuraliën|Cisuralian|ciszurali|Kisuralis|Cisuralium|Cisuralium|cisuralij|cisural|cisural|Cisuraliense|Циѿурал|乌拉尔世|Cisuraliano|Cisural|Cisural|Cisural|Cisural|Cisuralien|Cisuralien|cisuraliano
UpperPennsylvanian,EPOCH,307.0,298.9,Pennsylvanian,Къѿен Пенѿилван|Pozdní pennsylván|pozni pennsylvanij|Late Pennsylvanian|késő-pennsylvaniai|Sen Pennsylvanien|mladší penssylván|Sen pennsylvanium|Późny Pensylwan|Laat Pennsylvaniën|yngre pennsylvan|Myöhäis-Pennsylvania|Hilis-Pennsylvania|Vėlyvasis Pensilvanis|Spätes Pennsylvanium|晚宾夕法尼亚世|後期ペンシルバニア紀|Pennsylvaniense Superior|Pennsylvanien supérieur|Upper Pennsylvanian|Pensilvaniano Superior|pennsylvaniano superiore
MiddlePennsylvanian,EPOCH,315.2,307.0,Pennsylvanian,中期ペンシルバニア紀|Middle Pennsylvanian|中宾夕法尼亚世|中宾夕法尼亚统|ペンシルバニア紀中期
LowerPennsylvanian,EPOCH,323.2,315.2,Pennsylvanian,Early Pennsylvanian|前期ペンシルバニア紀|早宾夕法尼亚世|降低宾夕法尼亚州|Lower Pennsylvanian|ペンシルベニア州南部
UpperMississippian,EPOCH,330.9,298.9,Mississippian,晚密西西比世|後期ミシシッピアン紀|Late Mississippian|上密西西比统|Upper Mississippian|ミシシッピアン紀後期
MiddleMississippian,EPOCH,346.7,330.9,Mississippian,中密西西比世|Middle Mississippian|中期ミシシッピアン紀|中密西西比统|ミシシッピアン紀中期
LowerMississippian,EPOCH,358.9,346.7,Mississippian,早密西西比世|前期ミシシッピアン紀|Early Mississippian|ミシシッピ川下流|下密西西比州|Lower Mississippian
UpperDevonian,EPOCH,382.7,358.9,Devonian,Spätes Devon|Къѿен Девон|késő-devon|Sen devon|Myöhäis-Devoni|Svrchní devon|Hilis-Devon|Vėlyvasis Devonas|pozni devon|Sen Devon|後期デボン紀|晚泥盆世|mladší devón|yngre devon|Late Devonian|Laat Devoon|Późny Dewon|Upper Devonian|Dévonien supérieur|Devónico Superior|Devónico Superior|devoniano superiore
MiddleDevonian,EPOCH,393.3,382.7,Devonian,Devónico Médio|Środkowy Dewon|Vidurinis Devonas|Среден Девон|Devónico Medio|Dévonien moyen|Mitteldevon|devoniano medio|stredný devón|Střední devon|Keski-Devoni|Mellem Devon|középső-devon|Midden Devoon|mellersta devon|srednji devon|Midtre devon|Kesk-Devon|中泥盆世|中期デボン紀|Middle Devonian|中泥盆统|デボン紀中期
LowerDevonian,EPOCH,419.2,393.3,Devonian,早泥盆世|zgodnji devon|Vroeg Devoon|デボン紀前期|Wczesny Dewon|Vara-Devon|kora-devon|Ankstyvasis Devonas|Tidlig devon|Devónico temprano|Frühes Devon|brzy devon|Tidlig Devon|äldre devon|raný devón|Devoniano primitivo|Varhais-Devoni|Early Devonian|devoniano precoce|Dévonien précoce|Ранен Девон|Apatinė Devonas|Devoniano Inferior|Devónico Inferior|spodná  devón|Lower Devonian|alsó-devon|Nedre Devon|Alam-Devon|Ala-Devoni|devoniano inferiore|下部デボン紀|spodní devon|undre devon|undre devon|Onder Devoon|Dévonien inférieur|spodnja devon|Untervdevon|下泥盆世|Долна Девон|Dolna Dewon
Ludlow,EPOCH,427.4,423.0,Silurian,ludlow|ludlow|ludlow|卢德洛世|Ludlovis|Лудлоу|Ludlow|Ludlow|Ludlow|Ludlow|Ludlow|Ludlow|Ludlow|Ludlow|Ludlow|Ludlow|Ludlow|Ludlow|ludlowi|ルーロビアン世|ludlowij
Wenlock,EPOCH,433.4,427.4,Silurian,Wenlock|Wenlock|Wenlock|Wenlock|Wenlock|Wenlock|Wenlock|Wenlock|Wenlock|Wenlock|wenlockij|Uenlokis|Wenlok|wenlock|wenlock|Венлок|ウェンロッキアン世|Welnlock|wenlocki|wenlockiano|温洛克世
Llandovery,EPOCH,443.8,433.4,Silurian,ランドベリアン世|Landower|llandover|Llandovery|Llandovery|Llandovery|Llandovery|Llandovery|Llandovery|Llandovery|Llandovery|Llandovery|Llandovery|Llandovery|llandovery|llandovery|Лиандовери|llandoverij|兰多维列世|llandoveryi|Landoveris
UpperOrdovician,EPOCH,458.4,443.8,Ordovician,Къѿен Ордовик|Late Ordovician|Sen ordovicium|Laat Ordovicium|Hilis-Ordoviitsium|Vėlyvasis Ordovikas|Późny Ordowik|Spätes Ordovizium|Myöhäis-Ordoviikki|késő-ordovícium|starejši ordovicij|mladší ordovik|Pozdní ordovik|後期オルドビス紀|晚奥陶世|yngre ordovicium|Sen Ordovicium|Ordovícico Superior|Ordovícico Superior|ordoviciano superiore|Ordovicien supérieur|Upper Ordovician
MiddleOrdovician,EPOCH,470.0,458.4,Ordovician,mellersta ordovicium|Ordovícico Médio|Kesk-Ordoviitsium|Mellem Ordovicium|srednji ordovicij|Mittleres Ordovizium|ordoviciano medio|Среден Ордовик|Middle Ordovician|középső-ordovícium|Midden Ordovicium|Ordovicien moyen|中期オルドビス紀|Środkowy Ordowik|Ordovícico Medio|Vidurinis Ordovikas|中奥陶世|stredný ordovik|Keski-Ordoviikki|Střední ordovik|Midtre ordovicium|オルドビス紀中期|中奥陶统
LowerOrdovician,EPOCH,485.4,470.0,Ordovician,Ordovícico temprano|Ordovicien précoce|Tidlig Ordovicium|ordoviciano precoce|早奥陶世|äldre ordovicium|Ordovícista adiantado|brzy ordovik|Wczesny Ordowik|raný ordovik|Ранен Ордовик|Varhais-Ordoviikki|Ankstyvasis Ordovikas|kora-ordovícium|オルドビス紀前期|Tidlig ordovicium|Fühes Ordovizium|Early Ordovician|Vara-Ordoviitsium|zgodnji ordovicij|Vroeg Ordovicium|spodní ordovik|下部オルドビス紀|Apatinė Ordovikas|Onder Ordovicium|spodnja ordovicij|下奥陶统|Nedre Ordovicium|Dolna Ordowik|Lower Ordovician|spodná ordovik|Ordovícico Inferior|Долна Ордовик|ordoviciano inferiore|Alam-Ordoviitsium|Unterordovizium|Ordovicien inférieur|undre ordovicium|undre ordovicium|Ordovícista Inferior|Ala-Ordoviikki|alsó-ordovícium
Furongian,EPOCH,497.0,485.4,Cambrian,Furongien|Furongien|Фуронг|furong|furong|Furongiën|Furongis|フロンギアン世|Furongian|furongij|Furogiense|furongiano|Furongium|Furongium|芙蓉世|Furongiano|furongi|Furong|Furong|Furong|Furong
Miaolingian,EPOCH,509.0,497.0,Cambrian,"Miaolingian|kambrium serie 3|Câmbrico-Série 3|Kambrium-Oddělení 3|kambrium - séria 3|第三世|Kambrium-Serie 3|Kambrium-Serie 3|Cambrian Series 3|cambriano - serie 3|Kambri-sarja 3|Камбрий - 3 ѿериѿ|kambrij-serija 3|Kambras-Serija 3|Cambrien-Séries 3|Cambrium, Zone 3|Kambr-Oddział 3|Cámbrico-Serie 3|第3世|Kambrium, Ladestik 3|kambrium 3. sorozat|Kambrium-serie 3|CambrianSeries3"
CambrianSeries2,EPOCH,521.0,509.0,Cambrian,"kambrium - séria 2|Kambras-Serija 2|Kambrium -serie 2|Kambrium-Serie 2|Kambrium-Serie 2|Cambrian Series 2|kambrij-serija 2|Kambr-Oddział 2|Kambri-sarja 2|Cambrien-Séries 2|Câmbrico-Série 2|Cámbrico-Serie 2|Kambrium, Ladestik 2|Kambrium-Oddělení 2|kambrium 2. sorozat|第二世|第2世|Камбрий - 2 ѿериѿ|cambriano - serie 2|Cambrium, Zone 2|kambrium serie 2"
